,country,count,points
0,US,54504,88.56372009393806
1,France,22093,88.84510931064138
2,Italy,19540,88.56223132036847
3,Spain,6645,87.28833709556058
4,Portugal,5691,88.25021964505359
5,Chile,4472,86.4935152057245
6,Argentina,3800,86.71026315789474
7,Austria,3345,90.10134529147982
8,Australia,2329,88.58050665521684
9,Germany,2165,89.85173210161663
10,New Zealand,1419,88.3030303030303
11,South Africa,1401,88.05638829407566
12,Israel,505,88.47128712871287
13,Greece,466,87.28326180257511
14,Canada,257,89.36964980544747
15,Hungary,146,89.1917808219178
16,Bulgaria,141,87.93617021276596
17,Romania,120,86.4
18,Uruguay,109,86.75229357798165
19,Turkey,90,88.08888888888889
20,Slovenia,87,88.06896551724138
21,Georgia,86,87.68604651162791
22,England,74,91.58108108108108
23,Croatia,73,87.21917808219177
24,Mexico,70,85.25714285714285
25,Moldova,59,87.20338983050847
26,Brazil,52,84.67307692307692
27,Lebanon,35,87.68571428571428
28,Morocco,28,88.57142857142857
29,Peru,16,83.5625
30,Ukraine,14,84.07142857142857
31,Serbia,12,87.5
32,Czech Republic,12,87.25
33,Macedonia,12,86.83333333333333
34,Cyprus,11,87.18181818181819
35,India,9,90.22222222222223
36,Switzerland,7,88.57142857142857
37,Luxembourg,6,88.66666666666667
38,Bosnia and Herzegovina,2,86.5
39,Armenia,2,87.5
40,Slovakia,1,87.0
41,China,1,89.0
42,Egypt,1,84.0
